PlayerName,Team,PlayerNumber,GamesPlayed,GamesStarted,StartingPercentage,TotalPoints,AvgPointsPerGame,1PMadeShots,2PMadeShots,3PMadeShots,TotalFieldGoalsMade,AvgShotsPerGame,PointsPerShot,FTAttempts,FTMakes,FTPercentage,TotalFouls,AvgFoulsPerGame,PFouls,P1Fouls,P2Fouls,P3Fouls,T1Fouls,U1Fouls,U2Fouls,U3Fouls,GDFouls
SCHUMACHER Robyn,Gréngewald Hueschtert B,15,3,3,100.0,28,9.33,2,13,0,15,5.0,1.87,0,0,0.0,5,1.67,1,1,3,0,0,0,0,0,0
CHOMEL Mathis Nathan,BBC Käldall,12,2,2,100.0,28,14.0,4,3,6,13,6.5,2.15,0,0,0.0,2,1.0,1,0,1,0,0,0,0,0,0
KOHN Louis Michel,US Heffingen B,12,2,2,100.0,28,14.0,4,12,0,16,8.0,1.75,2,1,50.0,2,1.0,1,0,0,1,0,0,0,0,0
LAMESCH Maximilien Daniel,Amicale Steesel C,10,3,2,66.7,28,9.33,4,12,0,16,5.33,1.75,2,1,50.0,5,1.67,5,0,0,0,0,0,0,0,0
MELCHIOR Yorick,BC Mess B,8,3,3,100.0,28,9.33,3,11,1,15,5.0,1.87,0,0,0.0,2,0.67,1,0,1,0,0,0,0,0,0
DELGADO FERREIRA Manuel,Black Frogs Schieren C,13,3,3,100.0,28,9.33,1,9,3,13,4.33,2.15,0,0,0.0,3,1.0,1,0,2,0,0,0,0,0,0
BACKENDORF Marc,Arantia Larochette B,11,4,2,50.0,28,7.0,5,10,1,16,4.0,1.75,8,5,62.5,6,1.5,2,1,3,0,0,0,0,0,0
CAPPELLI Edoardo,Racing Luxembourg D,8,2,2,100.0,28,14.0,4,9,2,15,7.5,1.87,2,1,50.0,6,3.0,3,0,1,1,1,0,0,0,0
BUGEJA Sean,Amicale Steesel,8,7,2,28.6,28,4.0,10,6,2,18,2.57,1.56,3,2,66.7,15,2.14,8,1,6,0,0,0,0,0,0
GLOD Leo,T71 Dudelange B,8,3,3,100.0,27,9.0,7,10,0,17,5.67,1.59,4,3,75.0,12,4.0,3,2,7,0,0,0,0,0,0
OLY Charel,US Heffingen,4,7,7,100.0,27,3.86,6,6,3,15,2.14,1.8,1,1,100.0,18,2.57,7,4,7,0,0,0,0,0,0
ERCOLANI Mathieu,Nitia Bettembourg,6,6,3,50.0,27,4.5,5,11,0,16,2.67,1.69,3,2,66.7,4,0.67,3,1,0,0,0,0,0,0,0
SCHAEFER Ben,Gréngewald Hueschtert B,13,6,3,50.0,27,4.5,0,6,5,11,1.83,2.45,0,0,0.0,10,1.67,2,1,7,0,0,0,0,0,0
PEFFER Raphael,AS Soleuvre,9,8,5,62.5,27,3.38,11,8,0,19,2.38,1.42,0,0,0.0,15,1.88,7,1,6,1,0,0,0,0,0
LOIZEAU Xavier Arnaud,Mambra Mamer B,12,5,3,60.0,27,5.4,5,8,2,15,3.0,1.8,2,1,50.0,7,1.4,2,2,3,0,0,0,0,0,0
GUMY Alexis,Racing Luxembourg C,6,2,2,100.0,27,13.5,3,12,0,15,7.5,1.8,1,1,100.0,7,3.5,4,0,3,0,0,0,0,0,0
